iso3,provider
AFG,HDX COD-AB (GeoBoundaries)
AGO,"HDX COD-AB (OCHA), updated per DIÁRIO DA REPÚBLICA ÓRGÃO OFICIAL DA REPÚBLICA DE ANGOLA"
AIA,FAO GAUL 2015
ALB,HDX COD-AB (OCHA)
AND,FAO GAUL 2015
ARE,FAO GAUL 2015
ARG,HDX COD-AB (OCHA)
ARM,HDX COD-AB (OCHA)
ATG,HDX COD-AB (OCHA)
AUS,Australian Bureau of Statistics
AUT,"FAO Agro-Informatics division (CSI), based on Federal Office of Metrology and Surveying data and Wikipedia"
AZE,FAO GAUL 2015
BDI,HDX COD-AB (GeoBoundaries)
BEL,Service Public Fédéral - Finances
BEN,UN SALB
BES,HDX COD-AB (OCHA)
BFA,HDX COD-AB (OCHA)
BGD,HDX COD-AB (OCHA)
BGR,HDX COD-AB (OCHA)
BHR,FAO GAUL 2015
BHS,HDX COD-AB (OCHA)
BIH,HDX COD-AB (GeoBoundaries)
BLR,HDX COD-AB (OCHA)
BLZ,HDX COD-AB (GeoBoundaries)
BMU,HDX COD-AB (OCHA)
BOL,HDX COD-AB (OCHA)
BRA,HDX COD-AB (OCHA)
BRB,HDX COD-AB (OCHA)
BRN,FAO GAUL 2015
BTN,HDX COD-AB (OCHA)
BWA,HDX COD-AB (OCHA)
CAF,UN SALB
CAN,UN SALB
CHE,Federal Office of Topography swisstopo
CHL,HDX COD-AB (OCHA)
CHN,HDX COD-AB (OCHA)
CIV,UN SALB
CMR,UN SALB
COD,UN SALB
COG,HDX COD-AB (OCHA)
COL,HDX COD-AB (OCHA)
COM,HDX COD-AB (OCHA)
CPV,UN SALB
CRI,HDX COD-AB (OCHA)
CUB,HDX COD-AB (OCHA)
CYM,HDX COD-AB (OCHA)
CYP,UN SALB
CZE,Czech Statistical Office
DEU,Bundesamt für Kartographie und Geodäsie (BKG)
DJI,HDX COD-AB (OCHA)
DMA,HDX COD-AB (OCHA)
DNK,Dataforsyningen Klimadatastyrelsen
DOM,HDX COD-AB (OCHA)
DZA,HDX COD-AB (OCHA)
ECU,UN SALB
EGY,FAO GAUL 2015
ERI,HDX COD-AB (OCHA)
ESP,Instituto Nacional de Estadística (INE)
EST,Estonian Land Board
ETH,HDX COD-AB (OCHA)
FIN,Finnish National Land Survey
FJI,HDX COD-AB (OCHA)
FRA,Institut national de l’information géographique et forestière (IGN)
FSM,HDX COD-AB (OCHA)
GAB,HDX COD-AB (OCHA)
GBR,Office for National Statistics
GEO,UN SALB
GGY,FAO GAUL 2015
GHA,HDX COD-AB (OCHA)
GIN,HDX COD-AB (OCHA)
GLP,HDX COD-AB (OCHA)
GMB,HDX COD-AB (OCHA)
GNB,UN SALB
GNQ,HDX COD-AB (OCHA)
GRC,Geodata Gov. Greece
GRD,HDX COD-AB (OCHA)
GTM,HDX COD-AB (OCHA)
GUF,HDX COD-AB (OCHA)
GUY,HDX COD-AB (OCHA)
HND,HDX COD-AB (OCHA)
HRV,Geoportal Državne geodetske uprave (DGU)
HTI,UN SALB
HUN,HDX COD-AB (OCHA)
IDN,HDX COD-AB (OCHA)
IMN,FAO GAUL 2015
IND,Survey of India (SOI)
IRL,Tailte Éireann
IRN,HDX COD-AB (OCHA)
IRQ,HDX COD-AB (OCHA)
ISL,Landmælingar Íslands
ISR,FAO GAUL 2015
ITA,Instituto Nazionale di Statistica (ISTAT)
JAM,HDX COD-AB (OCHA)
JEY,FAO GAUL 2015
JOR,FAO GAUL 2015
JPN,HDX COD-AB (OCHA)
KAZ,HDX COD-AB (OCHA)
KEN,HDX COD-AB (OCHA)
KGZ,HDX COD-AB (OCHA)
KHM,UN SALB
KIR,Pacific Data Hub (PDH)
KNA,HDX COD-AB (OCHA)
KOR,"FAO Agro-Informatics division (CSI), based on Wikipedia"
KWT,HDX COD-AB (OCHA)
LAO,HDX COD-AB (OCHA)
LBN,HDX COD-AB (OCHA)
LBR,HDX COD-AB (OCHA)
LBY,HDX COD-AB (OCHA)
LCA,HDX COD-AB (OCHA)
LIE,Federal Office of Topography swisstopo
LKA,UN SALB
LSO,HDX COD-AB (OCHA)
LTU,Registru Centras
LUX,Data.public.lu
LVA,Latvijas Atvērto datu portālā
MAR,HDX COD-AB (OCHA)
MDA,HDX COD-AB (OCHA)
MDG,UN SALB
MDV,FAO GAUL 2015
MEX,UN SALB
MKD,HDX COD-AB (OCHA)
MLI,HDX COD-AB (OCHA)
MLT,Malta Geoportal
MMR,HDX COD-AB (OCHA)
MNE,FAO GAUL 2015
MNG,UN SALB
MOZ,HDX COD-AB (OCHA)
MRT,UN SALB
MSR,HDX COD-AB (OCHA)
MTQ,HDX COD-AB (OCHA)
MUS,HDX COD-AB (OCHA)
MWI,UN SALB
MYS,HDX COD-AB (OCHA)
NAM,HDX COD-AB (OCHA)
NER,UN SALB
NGA,UN SALB
NIC,HDX COD-AB (OCHA)
NLD,INSPIRE Geoportal
NOR,INSPIRE Geoportal
NPL,HDX COD-AB (OCHA)
NZL,Stats NZ Geographic Data Service
OMN,Spatial Portal of the National Centre for Statistics and Information (NCSI)
PAK,HDX COD-AB (OCHA)
PAN,HDX COD-AB (OCHA)
PER,Instituto Geográfico Nacional (IGN)
PHL,UN SALB
PNG,HDX COD-AB (OCHA)
POL,HDX COD-AB (OCHA)
PRI,FAO GAUL 2015
PRK,HDX COD-AB (OCHA)
PRT,Directorate-General for Territory (DGT - Portugal)
PRY,National Institute of Statistics (INE)
PSE,HDX COD-AB (OCHA)
QAT,HDX COD-AB (OCHA)
REU,HDX COD-AB (KONTUR)
ROU,HDX COD-AB (GeoBoundaries)
RUS,HDX COD-AB (OCHA)
RWA,FAO GAUL 2015
SAU,"National Center for Vegetation Cover (NCVC), Ministry of Environment, Water and Agriculture (MOEWA), and the Geospatial Unit of Natural Resources Management (NRM) FAO-KSA"
SDN,HDX COD-AB (OCHA)
SEN,UN SALB
SGP,FAO GAUL 2015
SHN,Stanford University
SLB,Pacific Data Hub (PDH)
SLE,HDX COD-AB (OCHA)
SLV,HDX COD-AB (OCHA)
SOM,HDX COD-AB (OCHA)
SPM,FAO GAUL 2015
SRB,UC Berkeley Museum of Vertebrate Zoology
SSD,HDX COD-AB (OCHA)
STP,HDX COD-AB (OCHA)
SUR,HDX COD-AB (OCHA)
SVK,HDX COD-AB (OCHA)
SVN,STAtistics - GEography (Stage II)
SWE,Lantmäteriet
SWZ,UN SALB
SXM,HDX COD-AB (OCHA)
SYC,HDX COD-AB (OCHA)
SYR,HDX COD-AB (OCHA)
TCA,HDX COD-AB (OCHA)
TCD,UN SALB
TGO,UN SALB
THA,HDX COD-AB (OCHA)
TJK,HDX COD-AB (OCHA)
TKM,FAO GAUL 2015
TLS,HDX COD-AB (OCHA)
TON,HDX COD-AB (OCHA)
TTO,HDX COD-AB (OCHA)
TUN,UN SALB
TUR,HDX COD-AB (OCHA)
TUV,Pacific Data Hub (PDH)
TZA,"National Bureau of Statistics (NBS), The United Republic of Tanzania"
UGA,HDX COD-AB (OCHA)
UKR,HDX COD-AB (OCHA)
URY,HDX COD-AB (OCHA)
USA,"U.S. Geological Survey, National Geospatial Technical Operations Center"
UZB,HDX COD-AB (OCHA)
VCT,HDX COD-AB (OCHA)
VEN,HDX COD-AB (OCHA)
VGB,HDX COD-AB (OCHA)
VIR,HDX COD-AB (OCHA)
VNM,"Vietnam Department of Surveying, Mapping and Geographic Information - Ministry of Agriculture and Environment"
VUT,Pacific Data Hub (PDH)
WSM,HDX COD-AB (GeoBoundaries)
YEM,HDX COD-AB (OCHA)
ZAF,UN SALB
ZMB,UN SALB
ZWE,UN SALB
xAP,Survey of India (SOI)
